Number,Name,Comments,Merged,State,Labels,Created,Closed,Commit,Files,Url
1938,#1938_Added_z_offset_to_mesh_leveling,12,False,closed,['PR: New Feature'],2015-04-18 19:20:36+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/1938
1963,#1963_M117_with_adjustible_Pause,4,False,closed,['PR: New Feature'],2015-04-24 14:25:20+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/1963
1981,#1981_add_FAN_MIN_PWM_for_slow_fan_stopping_issue,8,False,closed,"['T: Feature Request', 'Needs: More Data', 'PR: New Feature']",2015-04-27 22:38:56+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/1981
2016,#2016_LCD_WG12864U5_is_not_properly_initialized_,6,False,closed,"['Needs: Work', 'C: Boards/Pins', 'PR: New Feature']",2015-05-04 14:47:20+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2016
2017,#2017_Added_calculation_of_difference_between_auto-corrected_bed_level_plane_and_measure_topology_,4,False,closed,['PR: New Feature'],2015-05-04 17:19:24+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2017
2070,#2070_Display_unknown_XYZ_on_the_LCD_as__---_,7,False,closed,"['PR: Improvement', 'Needs: More Data', 'PR: New Feature']",2015-05-13 09:37:06+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2070
2077,#2077_Kill_on_sudden_temperature_jumps,9,False,closed,"['PR: Improvement', 'PR: New Feature', 'PR: Bug Fix']",2015-05-14 13:47:10+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2077
2086,#2086_M33__Get_long_filename,0,False,closed,"['Bug: Confirmed !', 'PR: New Feature', 'PR: Bug Fix']",2015-05-15 17:53:23+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2086
2087,#2087_M33__Get_long_filename,8,False,closed,"['PR: Improvement', 'PR: New Feature', 'PR: Bug Fix']",2015-05-15 18:42:14+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2087
2092,#2092_A_different_heater_sanity_check_,19,False,closed,"['PR: Improvement', 'Needs: Work', 'Needs: More Data', 'PR: New Feature']",2015-05-17 01:30:28+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2092
2129,"#2129_G5_X_Y_Z_Babystepping,_M19_Resume_Failed_Print_From_Z,_Layer_Counting,_Save_Extruder_Offsets_in_EEPR",2,False,closed,['PR: New Feature'],2015-05-20 15:17:21+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2129
2163,#2163_Probe_deployment,22,False,closed,"['PR: Improvement', 'PR: New Feature']",2015-05-25 22:03:58+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2163
2169,#2169_Externally_override_options,2,False,closed,"['Needs: More Data', 'PR: New Feature', 'PR: Coding Standards', 'T: Development']",2015-05-27 01:37:11+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2169
2175,#2175_G5_X_Y_Z_Babystepping,21,False,closed,['PR: New Feature'],2015-05-27 16:07:20+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2175
2177,#2177_Extrude_From_Multiple_Extruders_On_an_LCD_Controller,11,False,closed,"['Needs: Work', 'Needs: More Data', 'PR: New Feature']",2015-05-27 20:04:29+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2177
2179,#2179_M19_Z_Resume_From_Z_and_Layer_Counting,14,False,closed,['PR: New Feature'],2015-05-27 21:46:56+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2179
2231,#2231_A_different_heater_check_(V3),3,False,closed,"['Needs: Testing', 'Needs: More Data', 'PR: New Feature']",2015-06-02 11:41:50+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2231
2239,#2239_Delta_trim,16,False,closed,"['PR: Improvement', 'PR: New Feature']",2015-06-03 10:46:39+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2239
2248,#2248_Fix_extruder_dryrun,7,False,closed,"['PR: New Feature', 'PR: Bug Fix']",2015-06-03 18:35:30+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2248
2272,#2272_Support_for_COREXZ_kinematics,10,False,closed,"['Needs: Testing', 'PR: New Feature']",2015-06-10 00:42:06+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2272
2309,#2309_Electronic_scale_for_Z_axis_probe,21,False,closed,"['Needs: Work', 'PR: New Feature']",2015-06-18 07:27:21+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2309
2343,#2343_External_option_override,0,False,closed,"['PR: Improvement', 'PR: New Feature', 'T: Development']",2015-06-28 02:21:08+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2343
2396,#2396_Lowercase_GCode_support,13,False,closed,"['Needs: More Data', 'PR: New Feature', 'C: Hosts & Protocols']",2015-07-07 06:25:18+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2396
2428,#2428_Feature_store_position_in_sdcard,5,False,closed,"['PR: Improvement', 'Needs: More Data', 'PR: New Feature']",2015-07-13 04:51:10+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2428
2456,#2456_G2_G3_arcs_for_DELTA,0,False,closed,"['Needs: Testing', 'PR: New Feature']",2015-07-16 20:33:01+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2456
2458,#2458_G2_G3_arcs_for_DELTA,0,False,closed,"['Needs: Testing', 'PR: New Feature']",2015-07-16 21:08:24+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2458
2459,#2459_Make_options_externally_overridable,2,False,closed,"['PR: Improvement', 'Needs: Testing', 'PR: New Feature', 'T: Development']",2015-07-17 00:10:28+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2459
2462,#2462_Make_options_externally_overridable,4,False,closed,"['PR: Improvement', 'PR: New Feature', 'T: Development']",2015-07-17 01:24:50+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2462
2540,#2540_Add_option_for_SINGLENOZZLE,3,False,closed,"['Needs: Testing', 'PR: New Feature']",2015-07-28 17:35:37+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2540
2568,#2568_Bootscreen_Hitachi,7,False,closed,['PR: New Feature'],2015-07-31 21:46:44+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2568
2803,#2803_Add_Joystick,5,False,closed,"['Needs: Work', 'PR: New Feature']",2015-11-26 13:14:24+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2803
3181,#3181_Rc_bug_fix_-_support_for_lcm1602,6,False,closed,"['C: Boards/Pins', 'PR: New Feature']",2016-03-19 22:30:57+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3181
3189,#3189_Added_autotune_PID_on_LCD,18,False,closed,['PR: New Feature'],2016-03-20 19:19:42+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3189
3190,#3190_Add_support_for_Tilt_Zprobe,11,False,closed,"['Needs: More Data', 'PR: New Feature', 'PR: Configurations']",2016-03-20 19:57:23+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3190
3232,#3232_Added__G29_S4__to_fine_tune_Z_level_for_mesh_bed_levelling_,3,False,closed,"['PR: Improvement', 'PR: New Feature', 'PR: Bug Fix']",2016-03-24 21:21:26+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3232
3258,#3258_Generic_TWI_I2C_interface_for_Marlin,17,False,closed,"['Needs: More Data', 'C: Boards/Pins', 'PR: New Feature', 'C: Hosts & Protocols', 'S: Experimental']",2016-03-26 23:32:22+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3258
3329,#3329_added_menu_item_to_reset_BLTouch_sensor_alarm,11,False,closed,"['T: Feature Request', 'C: Boards/Pins', 'PR: New Feature']",2016-04-02 22:39:14+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3329
3554,#3554_Introduce_temp_watch_protection_for_the_bed,25,False,closed,"['PR: Improvement', 'Needs: Testing', 'PR: New Feature']",2016-04-18 17:07:04+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3554
3589,#3589_Advance_absolute,7,False,closed,"['T: Feature Request', 'PR: New Feature', 'S: Experimental']",2016-04-22 01:23:01+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3589
3601,#3601_Manual_Filament_Change_feature,43,False,closed,"['Needs: Work', 'PR: New Feature', 'S: Experimental']",2016-04-23 16:02:58+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3601
3605,#3605_Manual_Filament_Change__A_New_Hope,41,False,closed,"['PR: Improvement', 'Needs: Testing', 'PR: New Feature']",2016-04-24 23:16:19+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3605
3638,#3638_Auto_Filament_Change_Reworked__finally_working,20,False,closed,"['PR: Improvement', 'PR: New Feature']",2016-04-28 17:58:12+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3638
3655,#3655_Mixing_Extruder_Feature,35,False,closed,"['C: Boards/Pins', 'PR: New Feature']",2016-05-01 21:20:39+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3655
3718,#3718_Individual_axis_homing_menu_items,7,False,closed,['PR: New Feature'],2016-05-10 12:44:53+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3718
3934,#3934_Add_G20_G21_and_M149_support;_refactor_code_value_functions_(MarlinDev_PR_#196),27,False,closed,"['Needs: Work', 'Needs: Testing', 'PR: New Feature']",2016-05-31 15:31:00+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3934
3994,#3994_Support_for_SWITCHING_EXTRUDER,14,False,closed,"['Needs: Testing', 'C: Boards/Pins', 'PR: New Feature']",2016-06-10 02:33:38+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/3994
4099,#4099_CONTINUE_BUTTON_FEATURE,22,False,closed,['PR: New Feature'],2016-06-20 20:12:59+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/4099
4175,#4175_[WIP]_Printer_information_menu,26,False,closed,['PR: New Feature'],2016-06-30 09:28:30+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/4175
4227,#4227_Add_a_emergency-command_parser_in_MarlinSerial_and_add_M108,1,False,closed,"['PR: Improvement', 'PR: New Feature', 'C: Hosts & Protocols']",2016-07-06 18:23:42+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/4227
4849,#4849_Add_steps_per_unit_for_multiple_extruders,7,False,closed,"['PR: Improvement', 'PR: New Feature', 'PR: Configurations', 'S: Superseded']",2016-09-19 23:21:14+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/4849
4939,"#4939_implement_M3,_M4_&_M5_spindle_control_commands",59,False,closed,"['PR: New Feature', 'S: Superseded']",2016-10-02 20:08:51+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/4939
4946,#4946_Add_Drive_Strength_menu_for_ultra_LCD,9,False,closed,['PR: New Feature'],2016-10-04 01:41:12+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/4946
4957,#4957_Case_light_g-code_M355,8,False,closed,"['PR: New Feature', 'S: Superseded']",2016-10-05 19:43:00+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/4957
4965,#4965_Revised_DAC_Drive_Strength_Menu_add,0,False,closed,['PR: New Feature'],2016-10-07 05:26:21+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/4965
5003,#5003_add_endstop_monitor_to_M43_command,17,False,closed,['PR: New Feature'],2016-10-12 00:11:16+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5003
5113,"#5113_implement_M3,_M4_&_M5_spindle_control_commands_(replaces_PR_#4939)",18,False,closed,['PR: New Feature'],2016-10-29 20:32:54+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5113
5125,#5125_Block_lcd_update_during_short_segments,44,False,closed,"['PR: New Feature', 'S: Superseded']",2016-10-31 16:00:17+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5125
5145,"#5145_implement_M3,_M4_&_M5_spindle_control_commands_(replaces_PR_#4939_and_PR_#5113)",63,False,closed,"['PR: New Feature', 'S: Superseded']",2016-11-02 17:20:31+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5145
5395,#5395_Add_RGB_LED_Strip_support,35,False,closed,"['PR: New Feature', 'S: Superseded']",2016-12-06 04:00:57+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5395
5441,#5441_UTF-8_language_translation_support,30,False,closed,"['PR: New Feature', 'C: Language', 'C: LCD & Controllers']",2016-12-09 00:58:12+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5441
5553,#5553_piston_extruder_#5339_independent_dryer_fan_and_manual_E_adjust,6,False,closed,"['Needs: Testing', 'PR: New Feature']",2016-12-19 17:32:19+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5553
5646,#5646_Update_Bilinear_Grid_with_Probe_Height_Changes,4,False,closed,"['PR: Improvement', 'PR: New Feature', 'S: Superseded']",2017-01-01 19:38:16+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5646
5689,#5689_Bidirectional_Zig-Zag_Nozzle_Wipe,1,False,closed,"['PR: Improvement', 'PR: New Feature', 'PR: Configurations', 'S: Superseded']",2017-01-13 02:19:24+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5689
5763,"#5763_Implements_REPROBE_and_REWIPE,_using_Nozzle__clean()",7,False,closed,['PR: New Feature'],2017-01-31 04:37:12+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5763
5821,#5821_Use_babystepping_to_adjust_bed_probe_z-offset,12,False,closed,"['PR: New Feature', 'S: Superseded', 'F: Calibration']",2017-02-12 23:21:12+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5821
5875,#5875_Enable_and_disable_power_supply_automatically,14,False,closed,['PR: New Feature'],2017-02-20 21:14:28+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5875
5883,#5883_Added_z_fade_height_to_EEPROM-Settings,3,False,closed,"['PR: New Feature', 'S: Superseded']",2017-02-21 12:53:49+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5883
5903,#5903_Warn_user_if_EEPROM_version_has_changed,1,False,closed,"['PR: New Feature', 'S: Superseded']",2017-02-25 03:21:51+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5903
5976,#5976_Delta_tower_angle_corrections,0,False,closed,"['PR: Improvement', 'PR: New Feature', 'S: Superseded']",2017-03-06 15:57:58+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5976
5992,#5992_Add_hooks_and_UBL_code_to_RCBugFix,113,False,closed,"['PR: New Feature', 'F: U.B.L.']",2017-03-08 18:32:01+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/5992
6048,#6048_Retract_head_on_pause_resume_feature_add,0,False,closed,"['PR: New Feature', 'S: Superseded']",2017-03-17 18:06:19+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6048
6049,#6049_Retract_head_on_pause_resume_feature_add,4,False,closed,['PR: New Feature'],2017-03-17 21:42:27+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6049
6115,#6115_New_feature__Automatic_heatbed_cooldown_fan_control,28,False,closed,"['C: Boards/Pins', 'PR: New Feature']",2017-03-24 16:45:53+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6115
6132,#6132_UBL_-_add_rectangular_probing_for_G29_P1,14,False,closed,"['PR: New Feature', 'F: U.B.L.']",2017-03-27 04:20:51+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6132
6184,#6184_Rc_bugfix_ac_[FR]_Autocalibration_for_deltas_#6182,21,False,closed,['PR: New Feature'],2017-03-31 21:06:14+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6184
6238,#6238_Custom_Machine_Name,0,False,closed,['PR: New Feature'],2017-04-04 14:03:42+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6238
6260,#6260_Singlenozzle_Switching_Extruder_(Servo_move_on_tool-change),54,False,closed,"['Needs: Work', 'PR: New Feature']",2017-04-06 13:19:13+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6260
6492,#6492_DELTA_AUTO_CALIBRATE_updates,0,False,closed,"['Bug: Confirmed !', 'PR: Improvement', 'PR: New Feature', 'PR: Bug Fix', 'PR: Coding Standards', 'PR: General Cleanup']",2017-04-28 23:45:40+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6492
6493,#6493_M701_and_M702_support_from_LCD_and_Gcode,11,False,closed,['PR: New Feature'],2017-04-29 00:58:06+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6493
6671,#6671_Add_argument_S_to_M80_to_report_the_current_state_of_the_power_supply,1,False,closed,"['PR: Improvement', 'PR: New Feature']",2017-05-10 16:14:04+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6671
6675,#6675_I2C_encoders,51,False,closed,"['C: Boards/Pins', 'PR: New Feature']",2017-05-10 19:11:49+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6675
6704,"#6704_add_SWITCHING_NOZZLE,_exclude_any_XYZ-axis_manipulations_from_SWITCHING_EXTRUDER",20,False,closed,"['PR: New Feature', 'T: Design Concept']",2017-05-12 19:21:23+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6704
6717,#6717_added_an_option_to_decouple_the_workspace_offset_from_the_home_offset,12,False,closed,['PR: New Feature'],2017-05-13 12:24:08+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6717
6875,#6875_User_Command_(Script)_Menu,56,False,closed,"['PR: New Feature', 'C: Configuration', 'C: LCD & Controllers']",2017-05-27 23:49:49+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6875
6913,#6913_Initial_SLA_Galvo_support_and_compile_without_Extruders_or_HotEnds,7,False,closed,['PR: New Feature'],2017-05-31 16:44:18+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6913
6977,#6977_[1_1_x]_Prepare_for_Galvanometer_and_SLA_printing,19,False,closed,"['C: Boards/Pins', 'PR: New Feature']",2017-06-07 13:44:59+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/6977
7019,#7019_PCA9632_RGB_LED_driver_support,2,False,closed,['PR: New Feature'],2017-06-10 06:43:41+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/7019
7047,#7047_[Experimental]_Direct_stepper_chunk_support_#2,41,False,closed,['PR: New Feature'],2017-06-13 02:07:02+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/7047
7162,#7162_Adding_M217_command_to_send_text_to_serial,9,False,closed,['PR: New Feature'],2017-06-27 19:51:22+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/7162
7252,#7252_Miscellaneous_collection_of_small_fixes,9,False,closed,"['PR: New Feature', 'PR: Bug Fix', 'PR: Configurations']",2017-07-06 19:36:25+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/7252
7509,#7509_FEATURE__Part_cooling_fan_multiplexer,1,False,closed,"['C: Boards/Pins', 'PR: New Feature']",2017-08-15 16:05:43+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/7509
7586,#7586_Added_option_for_graphical_overlay_for_Z-offset_(resubmission_of_#7350),2,False,closed,"['PR: New Feature', 'C: LCD & Controllers']",2017-08-30 20:56:16+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/7586
7601,#7601_Implementing_[FR]_#7548,1,False,closed,['PR: New Feature'],2017-09-02 12:18:39+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/7601
7637,"#7637_Added_scrolling_to_long_filenames_in_the_SD_menu_(FR_#7595,_resubmission_of_PR_#7615)",13,False,closed,"['PR: Improvement', 'PR: New Feature', 'C: LCD & Controllers']",2017-09-08 20:17:36+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/7637
7648,#7648_[1_1_x]_Dual_endstops_XYZ,27,False,closed,['PR: New Feature'],2017-09-11 04:06:57+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/7648
